Date,Close,Returns,1to1,Running Total(1),1to2,Running Total(2),1to4,Running Total(4),1to8,Running Total(8),1to16,Running Total(16),1to32,Running Total(32)
4/2/63,66.84,-0.000149589,-0.000475438,-0.395897714,-0.000437422,-0.522415875,-0.000602529,0.027062132,-0.000586951,0.036829575,-0.000461865,0.115258615,-0.000293683,0.054376889
4/1/63,66.85,0.004206099,0.00388025,-0.392017465,0.003918266,-0.518497609,0.003753158,0.03081529,0.003768736,0.040598312,0.003893822,0.119152438,0.004062004,0.058438893
3/29/63,66.57,-0.000150195,-0.000476045,-0.392493509,-0.000438028,-0.518935637,-0.000603136,0.030212154,-0.000587558,0.040010754,-0.000462472,0.118689966,-0.00029429,0.058144603
3/28/63,66.58,-0.0014997,-0.001825549,-0.394319059,-0.001787533,-0.52072317,-0.001952641,0.028259513,-0.001937063,0.038073691,-0.001811976,0.11687799,-0.001643795,0.056500808
3/27/63,66.68,0.004216867,0.003891018,-0.390428041,0.003929034,-0.516794136,0.003763927,0.03202344,0.003779505,0.041853196,0.003904591,0.120782581,0.004072773,0.060573581
3/26/63,66.4,0.002869657,0.002543808,-0.387884233,0.002581824,-0.514212312,0.002416717,0.034440157,0.002432295,0.044285491,0.002557381,0.123339962,0.002725562,0.063299143
3/25/63,66.21,0.00030216,-2.37E-05,-0.387907922,0.0000143,-0.514197984,-0.00015078,0.034289377,-0.000135202,0.044150289,-0.0000101,0.123329846,0.000158066,0.063457209
3/22/63,66.19,0.00516325,0.004837401,-0.383070521,0.004875417,-0.509322567,0.004710309,0.038999686,0.004725887,0.048876176,0.004850973,0.128180819,0.005019155,0.068476364
3/21/63,65.85,-0.0015163,-0.00184215,-0.384912671,-0.001804133,-0.511126701,-0.001969241,0.037030445,-0.001953663,0.046922513,-0.001828577,0.126352243,-0.001660395,0.066815969
3/20/63,65.95,0.007331602,0.007005753,-0.377906918,0.007043769,-0.504082931,0.006878662,0.043909107,0.00689424,0.053816753,0.007019326,0.133371568,0.007187507,0.074003477
3/19/63,65.47,-0.002133821,-0.00245967,-0.380366588,-0.002421654,-0.506504586,-0.002586762,0.041322345,-0.002571184,0.051245569,-0.002446097,0.130925471,-0.002277916,0.071725561
3/18/63,65.61,-0.004853633,-0.005179482,-0.38554607,-0.005141466,-0.511646051,-0.005306573,0.036015772,-0.005290995,0.045954574,-0.005165909,0.125759562,-0.004997727,0.066727833
3/15/63,65.93,0.005030488,0.004704639,-0.380841431,0.004742655,-0.506903396,0.004577547,0.040593319,0.004593125,0.050547699,0.004718211,0.130477774,0.004886393,0.071614226
3/14/63,65.6,-0.004703383,-0.005029233,-0.385870664,-0.004991216,-0.511894613,-0.005156324,0.035436995,-0.005140746,0.045406954,-0.00501566,0.125462114,-0.004847478,0.066766748
3/13/63,65.91,0.003654637,0.003328788,-0.382541877,0.003366804,-0.508527809,0.003201696,0.038638691,0.003217274,0.048624228,0.00334236,0.128804474,0.003510542,0.07027729
3/12/63,65.67,0.002442375,0.002116526,-0.380425351,0.002154542,-0.506373267,0.001989435,0.040628126,0.002005013,0.050629241,0.002130099,0.130934573,0.00229828,0.072575571
3/11/63,65.51,0.002755243,0.002429393,-0.377995957,0.00246741,-0.503905857,0.002302302,0.042930428,0.00231788,0.052947121,0.002442966,0.133377539,0.002611148,0.075186718
3/8/63,65.33,0.001072633,0.000746783,-0.377249174,0.0007848,-0.503121058,0.000619692,0.04355012,0.00063527,0.053582391,0.000760356,0.134137896,0.000928538,0.076115256
3/7/63,65.26,0.006322282,0.005996433,-0.371252741,0.006034449,-0.497086609,0.005869342,0.049419461,0.00588492,0.05946731,0.006010006,0.140147901,0.006178187,0.082293444
3/6/63,64.85,0.001699104,0.001373255,-0.369879486,0.001411271,-0.495675337,0.001246164,0.050665625,0.001261742,0.060729052,0.001386828,0.141534729,0.001555009,0.083848453
3/5/63,64.74,0.000309023,-1.68E-05,-0.369896312,0.0000212,-0.495654147,-0.000143917,0.050521708,-0.000128339,0.060600713,-0.00000325,0.141531476,0.000164929,0.084013382
3/4/63,64.72,0.009672387,0.009346538,-0.360549775,0.009384554,-0.486269593,0.009219446,0.059741154,0.009235024,0.069835737,0.009360111,0.150891587,0.009528292,0.093541674
3/1/63,64.1,-0.002955359,-0.003281208,-0.363830983,-0.003243192,-0.489512785,-0.003408299,0.056332855,-0.003392721,0.066443016,-0.003267635,0.147623952,-0.003099453,0.09044222
2/28/63,64.29,-0.011075219,-0.011401068,-0.375232051,-0.011363052,-0.500875837,-0.01152816,0.044804695,-0.011512582,0.054930434,-0.011387496,0.136236456,-0.011219314,0.079222906
2/27/63,65.01,-0.007026119,-0.007351968,-0.382584019,-0.007313952,-0.508189789,-0.007479059,0.037325636,-0.007463481,0.047466953,-0.007338395,0.128898061,-0.007170214,0.072052693
2/26/63,65.47,0.000152765,-0.000173084,-0.382757103,-0.000135068,-0.508324857,-0.000300176,0.03702546,-0.000284597,0.047182355,-0.000159511,0.12873855,0.00000867,0.072061363
2/25/63,65.46,-0.006978155,-0.007304005,-0.390061108,-0.007265988,-0.515590845,-0.007431096,0.029594364,-0.007415518,0.039766838,-0.007290432,0.121448118,-0.00712225,0.064939113
2/21/63,65.92,0.001367158,0.001041309,-0.389019799,0.001079325,-0.51451152,0.000914217,0.030508582,0.000929795,0.040696633,0.001054881,0.122503,0.001223063,0.066162176
2/20/63,65.83,-0.005589124,-0.005914973,-0.394934773,-0.005876957,-0.520388477,-0.006042064,0.024466517,-0.006026486,0.034670147,-0.0059014,0.1166016,-0.005733219,0.060428957
2/19/63,66.2,-0.004810583,-0.005136433,-0.400071205,-0.005098416,-0.525486893,-0.005263524,0.019202993,-0.005247946,0.029422201,-0.00512286,0.11147874,-0.004954678,0.055474279
2/18/63,66.52,0.001656377,0.001330528,-0.398740677,0.001368544,-0.524118349,0.001203436,0.02040643,0.001219015,0.030641215,0.001344101,0.112822841,0.001512282,0.056986562
